Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
285092252,sst,sst/sst,https://github.com/sst/sst,Build full-stack apps on your own infrastructure.,TypeScript,2020-08-04T20:28:14Z,2024-12-06T23:50:51Z,2024-12-06T23:50:47Z,460,1689,22232,22232,142461,sst,Organization,MIT License
25880891,flow,facebook/flow,https://github.com/facebook/flow,Adds static typing to JavaScript to improve developer productivity and code quality.,OCaml,2014-10-28T17:17:45Z,2024-12-07T00:45:39Z,2024-12-07T00:49:18Z,1004,1860,22099,22099,140435,facebook,Organization,MIT License
72477752,pulumi,pulumi/pulumi,https://github.com/pulumi/pulumi,Pulumi - Infrastructure as Code in any programming language 🚀,Go,2016-10-31T21:02:47Z,2024-12-07T00:59:31Z,2024-12-07T00:59:29Z,2170,1130,21971,21971,154926,pulumi,Organization,Apache License 2.0
75785240,authelia,authelia/authelia,https://github.com/authelia/authelia,The Single Sign-On Multi-Factor portal for web apps,Go,2016-12-07T00:56:57Z,2024-12-07T00:31:03Z,2024-12-07T00:30:59Z,112,1136,21922,21922,51516,authelia,Organization,Apache License 2.0
329782568,dioxus,DioxusLabs/dioxus,https://github.com/DioxusLabs/dioxus,"Fullstack app framework for web, desktop, mobile, and more.",Rust,2021-01-15T01:57:26Z,2024-12-07T00:27:09Z,2024-12-07T00:27:07Z,229,833,21736,21736,40823,DioxusLabs,Organization,Apache License 2.0
13753636,generator-jhipster,jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.",TypeScript,2013-10-21T20:07:22Z,2024-12-07T00:55:32Z,2024-12-07T00:56:51Z,122,4027,21609,21609,169566,jhipster,Organization,Apache License 2.0
5736080,FreeCAD,FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,"This is the official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",C++,2012-09-09T08:25:02Z,2024-12-07T00:51:21Z,2024-12-07T00:51:11Z,2496,4157,21444,21444,2126139,FreeCAD,Organization,Other
3623050,homebrew-cask,Homebrew/homebrew-cask,https://github.com/Homebrew/homebrew-cask,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,Ruby,2012-03-05T02:05:17Z,2024-12-07T01:02:34Z,2024-12-07T01:06:29Z,41,10754,20977,20977,419892,Homebrew,Organization,"BSD 2-Clause ""Simplified"" License"
268163609,qdrant,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,2020-05-30T21:37:01Z,2024-12-07T00:02:53Z,2024-12-06T23:37:54Z,353,1428,20870,20870,28065,qdrant,Organization,Apache License 2.0
53133861,config,nikitavoloboev/config,https://github.com/nikitavoloboev/config,"Apps/CLIs/configs I use on macOS/iOS. Fish, Karabiner, Cursor..",Shell,2016-03-04T12:26:34Z,2024-12-07T00:36:35Z,2024-12-07T00:36:31Z,1,839,20626,20626,16004,nikitavoloboev,User,MIT License
